MOTOR VEHICLE & PARTS DEALERS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    33478     33817     33336     33776     34357     34781     35199     34585     35890     35972     35928     36272
1993    37621     36723     35955     38521     39006     38892     40290     40504     40203     40857     42077     42796
1994    42660     43685     44475     45072     44098     44541     44477     45232     46314     47041     47203     46941
1995    47224     45902     46681     47056     47718     49652     48832     49748     49188     49271     49863     50163
1996    50349     52288     52348     51531     52200     51798     52004     51472     53184     53450     52710     52835
1997    54010     54601     54233     53861     52191     54066     55255     55488     55334     54856     55314     55763
1998    55494     54841     56135     57464     57882     59264     56320     54997     57196     59294     59817     60473
1999    60535     61260     61641     62150     63211     63452     64509     65713     65150     64519     66269     65909
2000    67679     69085     68433     65812     65781     66638     65205     65311     66850     66208     64645     63524
2001    65926     66188     65671     66933     67039     66710     66067     66350     63929     80455     72413     68220
2002    67665     68168     66570     68251     65062     67354     69944     72204     68066     67553     67931     69794
2003    69673     66535     68628     69580     69660     70325     71049     72919     71184     69817     71738     70103
2004    69270     71093     72137     69960     72821     68991     71238     71365     74729     73858     73407     75387
2005    72883     73624     73338     74445     73219     78214     82183     73491     70549     68555     73204     73542
2006    77006     73810     74643     75095     73602     75104     76709     74915     74880     75297     75978     75964
2007    75255     75689     75640     75670     76774     75205     75121     76491     78152     77189     75364     73644
2008    73661     71983     71608     70507     69050     67396     64647     65838     62220     56579     55613     53916
2009    55906     54283     53230     53505     54672     56396     58166     63068     53828     56479     57577     56934
2010    57412     55881     60880     61474     62031     61717     63083     62994     63552     65587     65440     65582
2011    66986     67677     68024     67574     66295     67512     68050     66656     68899     70480     70949     71576
2012    70976     72220     72557     72537     73054     72223     72665     74211     75461     73909     75795     76798
2013    76384     77470     77131     77905     79028     80461                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.893     0.924     1.055     1.068     1.062     1.104     1.074     1.025     0.999     1.021     0.899     0.911
1993     0.858     0.893     1.092     1.066     1.061     1.105     1.067     1.030     1.002     0.986     0.927     0.911
1994     0.857     0.897     1.098     1.056     1.067     1.107     1.029     1.069     1.001     0.982     0.924     0.904
1995     0.860     0.903     1.104     1.017     1.106     1.105     1.023     1.075     0.993     0.984     0.923     0.873
1996     0.891     0.948     1.063     1.050     1.114     1.060     1.059     1.078     0.961     1.015     0.913     0.875
1997     0.896     0.918     1.063     1.046     1.111     1.063     1.058     1.046     0.991     1.013     0.878     0.903
1998     0.896     0.926     1.066     1.044     1.075     1.095     1.061     1.050     0.991     1.004     0.878     0.906
1999     0.867     0.931     1.099     1.044     1.073     1.093     1.060     1.056     0.993     0.967     0.904     0.913
2000     0.868     0.968     1.096     1.002     1.110     1.096     1.031     1.100     0.986     0.964     0.904     0.886
2001     0.898     0.928     1.087     1.005     1.109     1.090     1.045     1.105     0.955     0.989     0.901     0.894
2002     0.895     0.923     1.047     1.037     1.109     1.056     1.092     1.102     0.958     0.983     0.893     0.909
2003     0.890     0.916     1.047     1.040     1.102     1.061     1.104     1.065     0.986     0.977     0.860     0.952
2004     0.881     0.917     1.090     1.047     1.064     1.093     1.106     1.070     0.985     0.932     0.889     0.962
2005     0.847     0.909     1.099     1.044     1.070     1.091     1.067     1.105     0.984     0.928     0.886     0.962
2006     0.854     0.914     1.108     1.014     1.107     1.073     1.054     1.108     0.976     0.936     0.890     0.935
2007     0.884     0.917     1.108     1.020     1.109     1.061     1.053     1.106     0.942     0.965     0.894     0.938
2008     0.894     0.959     1.070     1.047     1.104     1.031     1.081     1.060     0.975     0.973     0.861     0.974
2009     0.899     0.925     1.078     1.050     1.062     1.060     1.075     1.053     0.971     0.973     0.871     0.983
2010     0.871     0.931     1.112     1.051     1.056     1.051     1.067     1.053     0.975     0.940     0.904     0.991
2011     0.872     0.935     1.117     1.042     1.057     1.050     1.027     1.079     0.979     0.939     0.905     0.994
2012     0.876     0.975     1.118     1.010     1.088     1.047     1.029     1.081     0.940     0.971     0.915     0.962
2013     0.904     0.941     1.080     1.040     1.090     1.013     1.061     1.076     0.948     0.973     0.907     0.968
2014     0.905     0.941     1.076     1.036     1.087     1.020     1.063     1.038     0.978     0.973     0.879     0.997
2015     0.902     0.941     1.080     1.040     1.051     1.053                                                            
