ELECTRONICS & APPLIANCE STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     3370      3397      3414      3498      3515      3572      3624      3543      3575      3697      3604      3668
1993     3742      3771      3824      3897      3927      4011      4202      4152      4213      4188      4234      4258
1994     4311      4416      4500      4510      4586      4755      4720      4817      4886      5047      5139      5197
1995     5236      5228      5253      5135      5368      5433      5338      5470      5481      5550      5587      5644
1996     5576      5559      5669      5737      5759      5694      5652      5730      5827      5812      5679      5608
1997     5516      5723      5707      5834      5772      5809      5929      5924      5918      5912      5994      6021
1998     6100      6125      6100      6038      6071      6229      6284      6381      6241      6261      6326      6320
1999     6319      6325      6425      6442      6541      6582      6673      6611      6696      6672      6588      6808
2000     6912      6965      6926      6996      6898      6751      6717      6792      6894      6764      6693      6670
2001     6669      6605      6567      6491      6473      6565      6631      6633      6506      6669      6951      7069
2002     6935      6988      7034      7012      7042      7050      6969      6889      6946      6992      6915      6970
2003     6890      6740      6828      6905      7078      7147      7270      7407      7410      7491      7547      7622
2004     7587      7566      7681      7756      7801      7872      7892      7890      7969      7967      8017      8024
2005     8146      8328      8324      8339      8332      8416      8437      8486      8605      8706      8607      8529
2006     9152      8812      8898      8888      8866      8900      8918      8940      9016      8913      9119      9442
2007     9215      9128      9063      9066      9117      9011      9094      9223      9241      9301      9616      9455
2008     9259      9189      9216      9315      9497      9322      9298      9101      8910      8709      8797      8412
2009     8885      8842      8152      8056      7988      8061      7910      7930      7980      7917      8327      8126
2010     8209      8443      8136      8239      8305      8420      8268      8178      8350      8279      8164      8250
2011     8219      8315      8476      8446      8370      8392      8464      8481      8424      8902      8664      8346
2012     8386      8353      8527      8279      8387      8338      8452      8302      8397      8360      8503      8458
2013     8458      8460      8270      8402      8319      8311                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.962     0.896     0.952     0.905     0.912     0.963     0.961     0.965     0.952     0.981     1.062     1.516
1993     0.950     0.865     0.964     0.906     0.910     0.963     0.956     0.967     0.953     0.969     1.075     1.523
1994     0.944     0.865     0.968     0.903     0.914     0.964     0.937     0.981     0.956     0.965     1.079     1.523
1995     0.942     0.865     0.971     0.892     0.928     0.963     0.930     0.989     0.957     0.959     1.080     1.501
1996     0.952     0.902     0.961     0.901     0.935     0.945     0.944     0.999     0.943     0.962     1.078     1.490
1997     0.961     0.878     0.958     0.899     0.932     0.940     0.955     0.991     0.948     0.952     1.060     1.510
1998     0.967     0.890     0.960     0.894     0.919     0.945     0.962     0.988     0.943     0.940     1.060     1.532
1999     0.959     0.898     0.970     0.890     0.914     0.940     0.959     0.985     0.939     0.919     1.075     1.568
2000     0.955     0.935     0.971     0.869     0.921     0.939     0.935     0.996     0.936     0.910     1.088     1.586
2001     0.959     0.900     0.963     0.858     0.922     0.938     0.929     1.001     0.917     0.918     1.102     1.608
2002     0.953     0.895     0.943     0.857     0.926     0.927     0.935     1.004     0.909     0.921     1.110     1.623
2003     0.950     0.892     0.934     0.853     0.927     0.929     0.938     0.995     0.915     0.922     1.101     1.639
2004     0.945     0.919     0.942     0.859     0.914     0.938     0.942     0.988     0.917     0.907     1.116     1.641
2005     0.930     0.904     0.945     0.861     0.914     0.937     0.932     0.996     0.919     0.896     1.124     1.638
2006     0.930     0.909     0.946     0.852     0.926     0.938     0.930     0.997     0.913     0.885     1.134     1.618
2007     0.941     0.912     0.945     0.849     0.932     0.938     0.932     1.000     0.897     0.885     1.149     1.608
2008     0.942     0.950     0.928     0.858     0.938     0.930     0.947     0.989     0.902     0.883     1.143     1.605
2009     0.943     0.920     0.934     0.860     0.922     0.944     0.950     0.984     0.904     0.884     1.154     1.588
2010     0.925     0.926     0.951     0.863     0.915     0.944     0.955     0.979     0.909     0.876     1.175     1.575
2011     0.918     0.932     0.962     0.862     0.911     0.939     0.946     0.986     0.913     0.878     1.185     1.570
2012     0.915     0.968     0.967     0.849     0.924     0.932     0.945     0.987     0.901     0.888     1.194     1.545
2013     0.928     0.937     0.950     0.861     0.925     0.915     0.953     0.988     0.898     0.892     1.195     1.545
2014     0.932     0.940     0.946     0.861     0.927     0.911     0.956     0.974     0.908     0.895     1.179     1.560
2015     0.935     0.941     0.945     0.863     0.914     0.921                                                            
