BUILDING MATERIALS, GARDEN EQ. & SUPPLY DEALERS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    10845     10904     10986     10738     10777     10790     10785     10915     10980     10971     10873     11082
1993    11333     11410     11184     11417     11720     11669     11781     11875     11786     11908     12297     12583
1994    12316     12233     12767     13076     13033     12987     13130     13224     13375     13550     13384     13981
1995    13738     13613     13587     13415     13370     13548     13645     13683     13837     13932     14092     14683
1996    14023     14036     14153     14340     14450     14902     14826     14981     14989     15040     15264     14980
1997    15197     15561     15862     15709     15805     15918     15973     16027     16283     16232     16158     16356
1998    16436     16462     16511     16716     16741     16662     16819     16828     16972     17209     17341     17702
1999    17732     17943     17760     17791     17914     17969     18183     18341     18175     18606     18944     19125
2000    19613     19193     20175     18986     18941     18878     18982     18951     18926     18965     18689     19356
2001    19248     19698     19562     20373     20147     19900     19838     19920     19664     20054     19982     20120
2002    20359     20515     20370     21274     20874     20725     20674     20683     20732     20603     20969     20415
2003    21270     20041     21326     21139     21328     22003     22372     22489     22630     22869     22864     22748
2004    22637     22727     24992     24565     24420     24622     24538     24713     25045     24842     24974     25679
2005    25955     25755     26076     26778     26466     26736     26555     26658     27153     27653     27638     27378
2006    29463     29474     29683     28815     27801     27428     27309     27361     26913     27132     26740     27202
2007    27331     27078     27701     26474     27215     26638     26771     26705     26500     26194     26523     25745
2008    25733     25724     25302     25711     25771     25943     26156     25708     25482     25029     23713     23131
2009    23069     22884     22557     22497     22725     22650     22362     22019     21908     21117     21511     21386
2010    21079     20940     22390     24083     22313     22140     22075     21955     22167     22794     22542     22829
2011    22117     21751     22543     22651     23064     23589     23619     23685     23581     24134     23813     24364
2012    24518     24495     25561     24542     23799     23554     23862     24349     24890     24627     24981     25062
2013    25315     25440     25243     26035     26346     25772                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.830     0.829     0.960     1.081     1.132     1.128     1.081     1.027     1.028     1.058     0.933     0.945
1993     0.790     0.809     0.989     1.083     1.129     1.129     1.063     1.049     1.027     1.025     0.965     0.943
1994     0.788     0.808     0.990     1.062     1.149     1.132     1.033     1.078     1.029     1.024     0.966     0.927
1995     0.802     0.806     0.990     1.033     1.181     1.137     1.034     1.077     1.007     1.044     0.965     0.897
1996     0.825     0.840     0.944     1.091     1.182     1.084     1.090     1.054     0.993     1.074     0.946     0.914
1997     0.823     0.801     0.946     1.095     1.167     1.107     1.093     1.018     1.023     1.067     0.915     0.936
1998     0.807     0.799     0.968     1.100     1.142     1.147     1.091     1.016     1.017     1.043     0.929     0.932
1999     0.781     0.796     0.996     1.111     1.155     1.150     1.072     1.034     1.012     1.005     0.957     0.924
2000     0.780     0.828     0.995     1.064     1.224     1.157     1.038     1.065     0.989     1.023     0.954     0.873
2001     0.819     0.788     0.977     1.092     1.231     1.140     1.060     1.062     0.958     1.050     0.955     0.869
2002     0.818     0.784     0.948     1.135     1.229     1.111     1.090     1.042     0.976     1.052     0.937     0.884
2003     0.815     0.780     0.950     1.138     1.207     1.133     1.089     1.009     1.008     1.051     0.911     0.909
2004     0.800     0.785     1.002     1.138     1.170     1.167     1.067     1.031     1.006     1.002     0.962     0.909
2005     0.773     0.772     1.005     1.112     1.200     1.164     1.035     1.063     1.006     1.000     0.966     0.893
2006     0.786     0.769     1.002     1.071     1.245     1.167     1.038     1.066     0.983     1.020     0.972     0.864
2007     0.802     0.765     0.983     1.088     1.262     1.146     1.063     1.059     0.952     1.046     0.977     0.865
2008     0.798     0.792     0.949     1.121     1.247     1.140     1.100     1.003     0.997     1.045     0.931     0.911
2009     0.775     0.758     0.968     1.126     1.211     1.184     1.094     0.998     0.992     1.027     0.949     0.919
2010     0.746     0.757     0.995     1.134     1.214     1.185     1.071     1.014     0.991     0.994     0.981     0.920
2011     0.747     0.757     1.001     1.117     1.239     1.183     1.028     1.038     0.990     0.997     0.979     0.909
2012     0.764     0.789     0.984     1.109     1.292     1.147     1.044     1.035     0.941     1.048     0.980     0.882
2013     0.792     0.761     0.951     1.153     1.290     1.106     1.072     1.018     0.959     1.051     0.957     0.899
2014     0.789     0.758     0.951     1.154     1.271     1.122     1.074     0.984     0.992     1.047     0.930     0.925
2015     0.776     0.758     0.971     1.157     1.230     1.156                                                            
