FOOD & BEVERAGE STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    30437     30382     30526     30602     30718     30761     30963     31041     30942     31148     30992     31057
1993    31045     31233     31058     31129     31164     31168     31349     31126     31201     31346     31363     31499
1994    31468     31688     31700     31899     31858     32123     31964     32222     32401     32196     32370     32294
1995    32625     32399     32415     32312     32540     32597     32466     32547     32625     32578     32744     32903
1996    33085     32928     33076     33174     33178     33281     33470     33542     33494     33704     33734     33819
1997    34049     33989     34156     34056     33978     33892     34106     34256     34281     34348     34230     34190
1998    34126     34102     34275     34374     34534     34592     34856     34950     34916     35093     35140     35533
1999    35447     35707     35652     36013     36060     35872     36126     36117     36411     36271     36300     37665
2000    35613     35980     36559     37008     36717     37175     37038     37110     37308     37476     37700     38033
2001    37903     38252     38133     38369     38439     38569     38506     38738     38832     38944     39161     38996
2002    38833     38885     38913     38568     38713     38723     38834     38647     38599     38693     38886     39072
2003    39412     39285     39318     39441     39019     39480     39808     39833     39878     39776     39631     39809
2004    40443     39922     40419     40399     40635     40608     40631     40771     41045     41177     41404     41534
2005    41769     41754     41768     42201     42167     42248     42284     42582     42725     42837     42903     43007
2006    42850     43374     43224     43278     43659     43737     43827     44079     43756     44670     44530     44771
2007    44859     45272     45174     45087     45415     45571     45845     45557     45933     46156     46619     46841
2008    46794     46771     46915     47484     47258     47714     47815     47996     47887     47694     47396     47146
2009    47453     46983     47123     47073     47410     47402     47280     47472     47612     47546     47866     48299
2010    47999     48777     48425     48206     48289     48069     47765     48557     48680     48836     49289     49396
2011    49853     50210     50268     50976     50799     51132     51242     51484     51251     51595     51725     51385
2012    51941     51811     52148     52698     52320     52512     52656     52533     53075     53312     53129     53337
2013    53353     53874     53883     53497     53765     53706                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.972     0.941     0.972     0.988     1.031     1.001     1.045     1.014     0.975     1.008     0.980     1.100
1993     0.969     0.901     0.981     0.990     1.024     1.006     1.053     1.003     0.982     0.996     0.982     1.110
1994     0.962     0.900     1.006     0.978     1.011     1.013     1.040     1.012     0.983     0.989     0.986     1.121
1995     0.951     0.900     0.998     0.983     1.020     1.014     1.032     1.022     0.986     0.977     0.993     1.110
1996     0.960     0.935     0.999     0.969     1.036     1.005     1.028     1.039     0.961     0.994     1.009     1.079
1997     0.974     0.899     1.008     0.959     1.045     0.990     1.037     1.028     0.964     1.002     0.997     1.092
1998     0.981     0.900     0.974     0.988     1.034     0.992     1.044     1.012     0.975     1.009     0.984     1.104
1999     0.968     0.901     0.995     0.976     1.027     0.996     1.052     0.999     0.982     0.997     0.987     1.114
2000     0.961     0.932     0.997     0.983     1.025     1.006     1.031     1.017     0.986     0.977     0.998     1.113
2001     0.958     0.904     1.005     0.969     1.035     1.010     1.017     1.024     0.974     0.985     1.000     1.105
2002     0.969     0.905     1.014     0.952     1.043     0.999     1.024     1.033     0.960     0.994     1.016     1.077
2003     0.978     0.906     0.985     0.977     1.051     0.987     1.032     1.021     0.963     1.001     1.003     1.087
2004     0.988     0.931     0.980     0.987     1.032     0.996     1.046     0.996     0.981     0.997     0.991     1.107
2005     0.970     0.907     1.009     0.970     1.019     1.004     1.033     1.006     0.983     0.990     0.995     1.115
2006     0.960     0.907     0.992     0.981     1.028     1.007     1.025     1.015     0.986     0.979     1.003     1.102
2007     0.969     0.907     1.002     0.966     1.036     1.012     1.012     1.025     0.974     0.987     1.004     1.092
2008     0.978     0.943     1.004     0.957     1.051     0.989     1.029     1.023     0.962     1.002     1.007     1.075
2009     0.993     0.908     0.971     0.988     1.038     0.992     1.036     1.010     0.972     1.009     0.992     1.082
2010     0.982     0.909     0.996     0.979     1.030     0.997     1.043     0.999     0.978     0.998     0.994     1.088
2011     0.975     0.911     0.993     0.998     1.018     1.004     1.030     1.008     0.979     0.991     0.997     1.096
2012     0.962     0.946     1.012     0.973     1.036     1.009     1.009     1.024     0.970     0.988     1.004     1.077
2013     0.979     0.914     1.022     0.958     1.043     0.997     1.017     1.032     0.957     0.997     1.019     1.052
2014     0.986     0.915     0.993     0.984     1.051     0.984     1.025     1.021     0.960     1.005     1.006     1.064
2015     0.993     0.915     0.992     0.980     1.039     0.988                                                            
