GROCERY STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    27835     27720     27848     27867     27987     28011     28183     28222     28122     28328     28184     28233
1993    28220     28419     28307     28367     28386     28377     28554     28357     28478     28618     28625     28773
1994    28722     28923     28914     29111     29025     29311     29149     29410     29545     29343     29520     29443
1995    29791     29604     29619     29499     29763     29812     29675     29721     29735     29692     29858     29994
1996    30105     29990     30125     30220     30245     30288     30493     30555     30565     30766     30768     30879
1997    31030     30991     31109     31065     30987     30804     31022     31160     31171     31225     31125     31063
1998    30989     30915     31123     31169     31358     31435     31673     31744     31702     31864     31920     32291
1999    32225     32465     32419     32700     32776     32633     32891     32878     33121     32968     32972     34270
2000    32239     32567     33117     33541     33221     33644     33479     33554     33729     33867     34071     34558
2001    34229     34602     34477     34727     34781     34866     34792     35043     35152     35270     35414     35208
2002    35130     35114     35160     34827     34941     34933     35044     34874     34865     34990     35157     35257
2003    35669     35570     35549     35638     35225     35676     35957     35890     35918     35763     35679     35808
2004    36402     35890     36365     36312     36528     36508     36526     36680     36951     37078     37286     37423
2005    37704     37553     37608     37971     37982     38029     38071     38358     38459     38559     38586     38668
2006    38411     38889     38866     38891     39242     39333     39411     39627     39277     40124     39949     40191
2007    40253     40646     40491     40499     40701     40830     41125     40874     41179     41421     41868     41998
2008    42078     42066     42176     42685     42442     42791     42842     43046     42948     42739     42503     42301
2009    42563     42118     42221     42184     42450     42525     42389     42520     42680     42664     42915     43289
2010    43089     43747     43368     43126     43289     43043     42797     43456     43571     43689     44134     44325
2011    44757     45017     45151     45828     45636     45884     45987     46216     45946     46222     46370     46098
2012    46507     46429     46678     47225     46805     46930     47153     47065     47541     47748     47512     47563
2013    47632     48099     48106     47822     48173                                                                      


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.981     0.946     0.978     0.990     1.032     1.001     1.046     1.015     0.977     1.009     0.980     1.073
1993     0.977     0.906     0.986     0.991     1.025     1.007     1.053     1.004     0.984     0.997     0.981     1.082
1994     0.971     0.905     1.012     0.980     1.013     1.014     1.041     1.013     0.985     0.991     0.985     1.092
1995     0.961     0.904     1.003     0.986     1.021     1.014     1.033     1.024     0.988     0.979     0.992     1.082
1996     0.969     0.940     1.004     0.971     1.037     1.006     1.029     1.039     0.965     0.997     1.008     1.051
1997     0.984     0.903     1.013     0.961     1.046     0.991     1.039     1.028     0.967     1.003     0.997     1.062
1998     0.990     0.904     0.980     0.989     1.035     0.993     1.044     1.015     0.978     1.011     0.983     1.074
1999     0.978     0.906     1.001     0.977     1.029     0.998     1.051     1.002     0.985     0.999     0.986     1.081
2000     0.972     0.937     1.003     0.984     1.026     1.007     1.031     1.020     0.988     0.980     0.997     1.078
2001     0.971     0.910     1.011     0.970     1.037     1.010     1.018     1.025     0.978     0.988     0.997     1.071
2002     0.983     0.912     1.020     0.953     1.044     1.000     1.024     1.033     0.964     0.997     1.014     1.042
2003     0.992     0.912     0.992     0.978     1.052     0.987     1.032     1.021     0.966     1.003     1.003     1.052
2004     1.002     0.939     0.987     0.988     1.033     0.996     1.045     0.998     0.984     0.998     0.989     1.071
2005     0.986     0.913     1.016     0.972     1.020     1.005     1.032     1.007     0.984     0.992     0.994     1.080
2006     0.976     0.913     0.999     0.984     1.028     1.006     1.024     1.018     0.987     0.980     1.001     1.068
2007     0.985     0.914     1.008     0.969     1.037     1.011     1.012     1.025     0.976     0.988     1.001     1.059
2008     0.995     0.949     1.010     0.960     1.050     0.989     1.029     1.023     0.964     1.002     1.006     1.041
2009     1.009     0.915     0.979     0.991     1.038     0.992     1.035     1.012     0.974     1.009     0.991     1.049
2010     0.998     0.916     1.002     0.980     1.031     0.997     1.042     1.001     0.980     0.998     0.992     1.054
2011     0.991     0.918     1.001     0.998     1.019     1.004     1.030     1.009     0.980     0.992     0.995     1.061
2012     0.979     0.953     1.018     0.971     1.037     1.009     1.010     1.025     0.973     0.989     1.001     1.044
2013     0.996     0.920     1.027     0.956     1.043     0.999     1.018     1.033     0.961     1.000     1.017     1.018
2014     1.002     0.921     0.998     0.983     1.050     0.987     1.027     1.022     0.963     1.006     1.005     1.029
2015     1.008     0.921     0.998     0.980     1.039                                                                      
