GASOLINE STATIONS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    12803     12601     12639     12710     12870     12886     12966     13092     13246     13304     13358     13475
1993    13398     13596     13487     13539     13521     13461     13502     13372     13416     13755     13754     13627
1994    13656     13875     13911     13867     13773     14059     14322     14685     14649     14709     14878     14885
1995    14915     14963     14921     15021     15215     15333     15249     15227     15194     15007     14981     15246
1996    15479     15457     15951     16252     16488     16352     16075     16066     16088     16360     16602     16759
1997    16938     16984     16969     16613     16367     16378     16396     16682     16757     16711     16638     16536
1998    16225     16054     15703     15798     16057     15933     16087     15851     15812     15948     16014     16399
1999    16394     16309     16529     17115     17186     17070     17704     18135     18339     18632     18992     20095
2000    19358     20214     20819     19907     20242     20885     20905     20574     21327     21412     21906     22124
2001    21931     21615     20652     21618     22628     21928     20686     20878     21336     20033     19245     18950
2002    19130     19068     19813     20856     20930     20733     21438     21182     21272     21659     22009     22464
2003    23073     23885     23968     22581     21810     21777     22196     23073     23214     22714     23472     23994
2004    24889     25256     25679     25518     27011     27050     26745     26552     27161     28656     29349     29046
2005    28470     29049     29617     29979     29195     29945     31005     33399     35937     35631     33326     33154
2006    34298     34174     34092     35752     36159     36127     37030     37800     34900     33076     33322     34858
2007    34168     34932     35926     36314     38066     37275     37030     37155     38405     39425     41809     41548
2008    42365     42387     43060     42942     44262     46500     46839     45699     45740     40497     31760     27829
2009    28613     29762     28691     28638     30385     33216     32907     34653     34777     34831     36388     36924
2010    37085     36720     36919     36930     36440     35666     35642     36098     37204     38511     38898     40662
2011    41311     41860     43343     44232     45064     44356     44607     44857     44809     44954     45142     44249
2012    45032     46319     46594     46403     45620     43509     43483     46128     47112     48464     46182     44959
2013    45346     47897     46400     44972     44886                                                                      


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.945     0.919     0.971     0.979     1.045     1.042     1.070     1.056     0.992     1.027     0.978     1.001
1993     0.935     0.887     0.976     0.988     1.042     1.040     1.070     1.056     0.997     1.015     0.983     1.008
1994     0.931     0.886     0.981     0.984     1.042     1.047     1.057     1.062     1.005     1.010     0.977     1.008
1995     0.930     0.883     0.989     0.974     1.048     1.057     1.053     1.065     1.000     1.010     0.980     0.996
1996     0.935     0.916     0.979     0.986     1.057     1.037     1.060     1.075     0.993     1.019     0.978     0.989
1997     0.942     0.878     0.976     0.985     1.058     1.041     1.066     1.063     1.002     1.027     0.962     0.990
1998     0.939     0.876     0.978     0.993     1.045     1.050     1.075     1.061     1.003     1.029     0.960     0.983
1999     0.922     0.875     0.986     1.005     1.042     1.050     1.080     1.063     1.012     1.018     0.960     0.978
2000     0.914     0.905     1.000     0.993     1.048     1.065     1.065     1.076     1.016     1.014     0.954     0.954
2001     0.916     0.876     1.007     1.002     1.054     1.060     1.067     1.085     1.002     1.020     0.958     0.941
2002     0.915     0.876     1.001     1.012     1.062     1.045     1.072     1.092     1.005     1.028     0.949     0.932
2003     0.919     0.873     0.996     1.011     1.068     1.047     1.081     1.082     1.008     1.041     0.935     0.933
2004     0.915     0.893     0.997     1.027     1.058     1.050     1.095     1.082     1.007     1.031     0.943     0.940
2005     0.898     0.860     0.992     1.019     1.067     1.064     1.093     1.084     1.009     1.026     0.938     0.943
2006     0.898     0.856     0.994     1.007     1.079     1.083     1.096     1.086     0.998     1.004     0.947     0.937
2007     0.905     0.852     0.991     1.010     1.087     1.086     1.099     1.087     0.981     1.000     0.952     0.939
2008     0.913     0.887     0.980     1.016     1.095     1.076     1.103     1.072     0.986     1.001     0.938     0.945
2009     0.925     0.858     0.988     1.024     1.080     1.078     1.100     1.063     0.984     1.002     0.940     0.951
2010     0.917     0.865     1.004     1.032     1.069     1.066     1.090     1.062     0.993     0.993     0.947     0.955
2011     0.914     0.870     1.016     1.028     1.062     1.063     1.071     1.068     1.005     0.995     0.944     0.957
2012     0.911     0.903     1.028     1.017     1.068     1.058     1.063     1.078     0.993     1.004     0.956     0.942
2013     0.916     0.876     1.019     1.020     1.071     1.042     1.066     1.079     0.997     1.011     0.953     0.943
2014     0.921     0.878     1.014     1.013     1.072     1.043     1.070     1.069     1.005     1.017     0.943     0.948
2015     0.922     0.879     1.012     1.016     1.059                                                                      
