CLOTHING & CLOTHING ACCESSORIES STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     9716      9712      9669      9862      9755      9915      9957     10141     10154     10174     10076     10318
1993    10581     10150      9916     10257     10386     10411     10593     10406     10549     10449     10475     10442
1994    10450     10587     10806     10554     10451     10612     10672     10839     10674     11000     10983     10952
1995    10939     10582     10850     10796     10976     10948     10824     10813     11198     10882     11269     11124
1996    11105     11341     11376     11422     11504     11365     11316     11360     11534     11577     11318     11435
1997    11513     11468     11623     11195     11413     11643     11735     11828     11845     11881     11936     12110
1998    12154     12199     12164     12459     12304     12447     12559     12460     12180     12540     12736     12746
1999    12897     12920     13075     13139     13373     13373     13270     13404     13381     13400     13416     13573
2000    13301     13532     13818     13801     14027     13864     13722     14072     14366     14231     14294     14084
2001    14135     14166     13801     14217     13950     13804     13994     14171     13286     13973     13970     14126
2002    14220     14357     14436     14410     14220     14366     14200     14338     13966     14625     14456     14714
2003    14565     14142     14465     14434     14651     14894     15141     15089     15175     15067     15338     15456
2004    15513     15687     15984     15567     15736     15555     15645     15660     15764     16055     16044     16183
2005    16142     16682     16245     16733     16527     16815     16458     16742     16360     17168     17140     17221
2006    17375     17395     17330     17605     17468     17647     17747     17659     18222     18167     17868     18524
2007    18474     18164     18618     18169     18543     18399     18582     18437     18466     18435     18672     18588
2008    18568     18280     18294     18514     18609     18741     18709     18601     17560     17284     17237     16852
2009    17142     17435     16567     16893     17076     16848     17014     17336     17226     17326     17134     17160
2010    17334     17386     17850     17779     17678     17592     17616     17800     17674     18097     18566     18150
2011    18269     18532     18772     19015     18964     19203     19148     19060     19441     19276     19500     19555
2012    19543     20236     20158     19735     19928     20091     20201     20271     20313     20324     20334     20530
2013    20558     20491     20632     20938     20914     21061                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.711     0.774     0.881     0.948     0.975     0.923     0.915     1.037     0.944     1.008     1.110     1.791
1993     0.706     0.741     0.887     0.958     0.967     0.922     0.928     1.021     0.954     0.988     1.123     1.806
1994     0.696     0.746     0.924     0.933     0.956     0.933     0.911     1.028     0.962     0.974     1.123     1.828
1995     0.685     0.753     0.911     0.942     0.966     0.943     0.903     1.040     0.961     0.957     1.132     1.788
1996     0.691     0.794     0.917     0.928     0.991     0.929     0.900     1.067     0.925     0.971     1.137     1.739
1997     0.711     0.769     0.936     0.906     1.010     0.915     0.912     1.048     0.927     0.977     1.107     1.748
1998     0.724     0.778     0.893     0.954     0.994     0.920     0.924     1.038     0.921     0.987     1.085     1.762
1999     0.713     0.786     0.925     0.946     0.985     0.917     0.939     1.023     0.925     0.965     1.089     1.778
2000     0.708     0.822     0.929     0.955     0.978     0.936     0.911     1.040     0.933     0.939     1.094     1.766
2001     0.710     0.806     0.947     0.942     0.988     0.937     0.898     1.045     0.910     0.947     1.100     1.748
2002     0.726     0.814     0.967     0.916     0.996     0.918     0.904     1.054     0.893     0.959     1.100     1.725
2003     0.743     0.819     0.924     0.950     1.008     0.906     0.913     1.026     0.897     0.973     1.079     1.732
2004     0.761     0.844     0.920     0.970     0.977     0.914     0.938     0.994     0.907     0.971     1.071     1.758
2005     0.746     0.827     0.967     0.938     0.966     0.925     0.923     0.998     0.920     0.963     1.071     1.763
2006     0.742     0.827     0.944     0.955     0.978     0.935     0.917     1.010     0.927     0.950     1.085     1.705
2007     0.754     0.825     0.966     0.939     0.994     0.938     0.907     1.024     0.914     0.959     1.100     1.653
2008     0.764     0.863     0.974     0.920     1.025     0.908     0.929     1.025     0.911     0.977     1.088     1.605
2009     0.781     0.836     0.935     0.967     1.011     0.916     0.942     1.019     0.912     0.989     1.073     1.590
2010     0.762     0.847     0.973     0.959     1.005     0.918     0.958     1.006     0.923     0.966     1.082     1.588
2011     0.751     0.857     0.970     0.986     0.991     0.930     0.939     1.014     0.931     0.953     1.080     1.608
2012     0.738     0.889     1.004     0.952     1.011     0.945     0.916     1.035     0.917     0.943     1.100     1.564
2013     0.752     0.865     1.019     0.932     1.021     0.929     0.924     1.049     0.904     0.951     1.102     1.541
2014     0.758     0.864     0.972     0.965     1.036     0.916     0.935     1.029     0.912     0.959     1.082     1.554
2015     0.770     0.864     0.974     0.959     1.016     0.924                                                            
