RETAIL & FOOD SERVICES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992   164083    164260    163747    164759    165617    166098    167305    167797    169407    170681    171025    172995
1993   175078    173770    172328    176766    178445    178201    180759    180692    181800    182910    184746    186339
1994   185128    188077    191588    191632    190940    193196    193763    196157    197754    199579    199723    200670
1995   201583    198383    200230    201048    202993    205507    204959    206529    206978    206157    208661    210434
1996   208731    212011    213855    214644    216304    216059    216374    216355    219240    221039    220989    221898
1997   223524    225409    226136    224588    222906    226048    228738    229317    230284    229822    230486    231197
1998   231605    231664    233043    235976    237055    238958    237423    236412    238542    242531    244307    246577
1999   246891    249510    250657    252418    254738    255472    257441    260253    261352    261825    264883    269876
2000   268091    272026    275214    270998    271418    273440    272638    272954    277523    276973    275928    275727
2001   278911    278799    276473    280798    281546    280393    279522    281423    276095    294613    286960    283704
2002   283583    285061    284257    288827    284987    287401    290427    292593    288428    289646    291475    293812
2003   295302    291188    296352    295656    296411    299679    302821    307768    305947    304857    308587    307384
2004   309266    311444    316972    313569    319002    315017    318587    318997    324668    326726    327892    331902
2005   329799    332804    332419    337992    334757    342841    347368    342818    343419    344697    347504    347730
2006   357814    354495    356172    358092    356240    357580    360175    360657    358887    358801    359544    365057
2007   363384    364187    367753    366063    371032    368651    370162    371241    374597    375105    378173    375728
2008   375595    372016    372720    374900    376187    377752    376023    373932    367078    353736    341589    332965
2009   337508    336864    331478    332457    336028    340552    341854    349067    340107    342862    346528    347869
2010   347854    348269    356067    358200    356231    355935    356446    359108    361534    366758    369001    371152
2011   373430    376425    380759    382726    382866    385784    386747    387099    389985    394706    395729    394282
2012   397083    402385    405211    404053    403404    399901    402831    407723    412031    411939    413435    414652
2013   415125    419507    418226    418973    421222    422794                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.897     0.895     0.975     0.993     1.027     1.017     1.016     1.017     0.972     1.017     1.001     1.203
1993     0.880     0.864     0.989     0.997     1.022     1.018     1.017     1.016     0.977     0.998     1.014     1.207
1994     0.875     0.865     0.997     0.991     1.022     1.025     0.998     1.031     0.981     0.992     1.013     1.204
1995     0.873     0.868     1.004     0.973     1.037     1.031     0.993     1.037     0.976     0.990     1.016     1.176
1996     0.886     0.907     0.989     0.984     1.050     1.008     1.006     1.044     0.956     1.006     1.013     1.164
1997     0.895     0.876     0.988     0.985     1.052     1.008     1.012     1.024     0.968     1.009     0.991     1.176
1998     0.897     0.880     0.990     0.991     1.034     1.021     1.017     1.019     0.967     1.007     0.987     1.179
1999     0.883     0.884     1.007     0.997     1.029     1.021     1.018     1.018     0.971     0.986     0.998     1.182
2000     0.881     0.917     1.019     0.976     1.042     1.030     0.995     1.040     0.970     0.977     1.003     1.158
2001     0.895     0.886     1.020     0.976     1.047     1.024     0.997     1.047     0.951     0.990     1.006     1.150
2002     0.901     0.886     1.002     0.990     1.053     1.004     1.014     1.049     0.950     0.993     1.000     1.146
2003     0.907     0.886     0.997     0.992     1.053     1.003     1.023     1.030     0.961     0.997     0.980     1.161
2004     0.909     0.905     1.010     1.003     1.030     1.017     1.031     1.023     0.966     0.978     0.991     1.171
2005     0.889     0.886     1.016     0.998     1.031     1.023     1.012     1.036     0.970     0.972     0.990     1.171
2006     0.890     0.887     1.022     0.980     1.049     1.027     1.006     1.039     0.964     0.969     0.997     1.147
2007     0.905     0.889     1.024     0.979     1.055     1.022     1.003     1.042     0.946     0.981     1.002     1.140
2008     0.913     0.927     1.003     0.994     1.060     1.003     1.021     1.020     0.955     0.992     0.982     1.151
2009     0.920     0.893     1.005     1.001     1.040     1.013     1.023     1.013     0.955     0.992     0.982     1.156
2010     0.905     0.897     1.022     1.006     1.033     1.013     1.020     1.010     0.961     0.974     0.996     1.159
2011     0.901     0.901     1.031     1.003     1.029     1.016     0.998     1.023     0.965     0.970     0.998     1.157
2012     0.900     0.937     1.039     0.985     1.049     1.013     0.990     1.034     0.944     0.983     1.009     1.129
2013     0.918     0.906     1.021     0.996     1.055     0.994     1.003     1.034     0.944     0.989     1.004     1.128
2014     0.923     0.907     1.016     0.996     1.055     0.992     1.008     1.015     0.956     0.995     0.987     1.144
2015     0.923     0.907     1.014     1.002     1.035     1.004                                                            
