SPORTING GOODS, HOBBY, BOOK & MUSIC STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     3877      4070      4010      4045      3983      3990      4091      4014      4096      4152      4162      4270
1993     4271      4183      4189      4329      4323      4302      4266      4304      4368      4365      4436      4494
1994     4493      4631      4692      4608      4729      4759      4741      4837      4917      4943      4827      4860
1995     5102      4881      4926      4959      4975      4995      5095      5159      5073      5057      5205      5177
1996     5247      5177      5208      5232      5106      5240      5279      5345      5285      5364      5395      5544
1997     5403      5300      5326      5320      5368      5460      5417      5370      5440      5524      5695      5569
1998     5528      5679      5656      5754      5724      5762      5720      5756      5752      5769      5783      5845
1999     5826      5981      5954      5971      6020      6094      6016      5983      6134      6108      6094      6158
2000     5972      6256      6383      6418      6494      6388      6488      6317      6397      6324      6213      6213
2001     6170      6470      6446      6369      6391      6294      6388      6428      6318      6439      6626      6552
2002     6519      6373      6368      6397      6403      6305      6282      6263      6435      6439      6606      6364
2003     6397      6211      6223      6300      6234      6464      6343      6598      6467      6382      6554      6495
2004     6616      6658      6563      6460      6463      6501      6607      6657      6663      6607      6658      6639
2005     6684      6763      6689      6788      6745      6647      6695      6700      6554      6840      6728      6912
2006     7196      7065      7066      7040      6936      6925      6853      6811      7011      6926      6793      6901
2007     6846      6798      7025      6935      7125      7120      7246      7124      7064      7185      7240      7113
2008     7155      7044      7034      7100      7253      7214      7181      7207      6783      6725      6777      6689
2009     6978      6821      6659      6828      6716      6725      6740      6881      6783      6672      6621      6797
2010     6824      6673      6776      6692      6737      6808      6760      6824      6785      6812      7010      6893
2011     6769      6859      6936      6878      6814      6908      6742      6959      7023      6968      6947      6696
2012     6913      7135      7316      7377      7371      7258      7317      7224      7267      7377      7360      7461
2013     7569      7601      7454      7393      7451      7505                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.887     0.802     0.866     0.871     0.890     0.905     0.889     0.993     0.927     0.905     1.064     2.006
1993     0.890     0.766     0.880     0.884     0.872     0.912     0.900     0.992     0.913     0.898     1.094     2.005
1994     0.875     0.765     0.886     0.890     0.868     0.904     0.895     1.013     0.927     0.881     1.108     1.997
1995     0.873     0.767     0.888     0.868     0.885     0.924     0.880     1.014     0.945     0.877     1.098     1.949
1996     0.889     0.791     0.895     0.870     0.894     0.919     0.894     1.037     0.902     0.889     1.115     1.912
1997     0.894     0.776     0.889     0.866     0.908     0.909     0.895     1.029     0.924     0.898     1.082     1.911
1998     0.904     0.783     0.878     0.867     0.905     0.931     0.908     1.009     0.932     0.906     1.069     1.870
1999     0.900     0.789     0.905     0.874     0.891     0.934     0.918     1.007     0.922     0.899     1.097     1.860
2000     0.889     0.825     0.906     0.869     0.902     0.932     0.892     1.030     0.957     0.874     1.097     1.836
2001     0.911     0.793     0.915     0.853     0.896     0.944     0.887     1.053     0.930     0.887     1.117     1.780
2002     0.921     0.793     0.918     0.856     0.900     0.911     0.903     1.081     0.917     0.882     1.112     1.795
2003     0.942     0.792     0.885     0.870     0.906     0.896     0.902     1.089     0.941     0.892     1.074     1.797
2004     0.960     0.806     0.896     0.869     0.881     0.924     0.926     1.076     0.935     0.893     1.081     1.772
2005     0.938     0.789     0.907     0.874     0.881     0.915     0.925     1.105     0.952     0.874     1.079     1.763
2006     0.936     0.786     0.906     0.859     0.903     0.934     0.913     1.114     0.968     0.867     1.058     1.718
2007     0.955     0.783     0.920     0.848     0.907     0.957     0.913     1.134     0.941     0.876     1.069     1.658
2008     0.953     0.821     0.910     0.867     0.929     0.921     0.927     1.145     0.949     0.874     1.035     1.683
2009     0.970     0.783     0.901     0.871     0.926     0.948     0.934     1.128     0.953     0.875     1.018     1.661
2010     0.960     0.788     0.931     0.883     0.911     0.955     0.942     1.125     0.938     0.862     1.037     1.660
2011     0.940     0.796     0.929     0.912     0.910     0.944     0.933     1.141     0.949     0.843     1.041     1.662
2012     0.935     0.832     0.955     0.867     0.920     0.973     0.911     1.144     0.934     0.853     1.043     1.600
2013     0.949     0.810     0.968     0.876     0.929     0.943     0.926     1.150     0.918     0.852     1.042     1.624
2014     0.964     0.817     0.937     0.892     0.938     0.929     0.924     1.139     0.938     0.860     1.012     1.645
2015     0.975     0.820     0.940     0.872     0.930     0.949                                                            
