GENERAL MERCHANDISE STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    19879     20202     20168     20258     20345     20298     20205     20593     20684     20851     21078     21752
1993    21383     21392     21273     21759     21993     21957     22343     22315     22429     22647     22760     22905
1994    22706     23070     23657     23354     23271     23626     23635     23889     23995     24255     24356     24583
1995    24936     24115     24579     24747     24851     25166     25375     25174     25469     25135     25414     25554
1996    25215     25616     25576     26103     26216     26085     26209     26441     26590     26904     26772     27051
1997    27216     27262     27304     27179     27328     27433     27949     27939     27868     28155     28151     28008
1998    28402     28748     28714     29123     29076     29170     29113     29274     29559     29720     30094     30129
1999    30664     31094     31390     31009     31165     31652     31549     31806     32152     32085     32161     33101
2000    32179     32576     33105     32879     33339     33408     33586     33823     34146     34280     34458     34734
2001    35601     34655     34069     35364     35202     35114     35720     35915     35822     36229     36656     37054
2002    36811     36974     37144     37491     37114     37417     37132     37202     37059     37816     37698     37716
2003    37740     38030     38391     38321     38483     38866     39404     40085     39896     39649     39945     40084
2004    40436     40519     41079     40662     41332     40756     41197     41323     41555     42042     42179     42656
2005    42578     43097     42971     43647     43529     44277     44060     44239     44384     45253     45236     44878
2006    45646     45711     45499     46259     45785     45904     45838     46119     46692     46708     46714     47486
2007    47857     47261     48151     47737     47907     47939     48417     48587     48405     48520     48945     49344
2008    48912     48915     49183     49584     50399     50876     50677     50216     49637     49337     49789     49026
2009    49370     49374     49099     49067     49333     49030     48958     49275     49477     50018     49382     50002
2010    50184     50777     50737     50694     50305     50356     50305     50642     50567     50793     51690     51225
2011    51063     51622     51890     52476     52222     52663     52669     52666     53177     53096     53318     53121
2012    54013     54516     54739     54364     54431     54381     54601     54854     54872     54966     54739     54621
2013    54770     54787     54902     54760     55009                                                                      


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.753     0.796     0.889     0.934     0.989     0.931     0.922     0.996     0.905     1.006     1.189     1.709
1993     0.753     0.766     0.890     0.936     0.981     0.939     0.928     0.982     0.919     1.001     1.175     1.727
1994     0.748     0.768     0.913     0.918     0.967     0.958     0.929     0.984     0.922     0.991     1.175     1.717
1995     0.742     0.773     0.911     0.931     0.971     0.965     0.929     0.991     0.922     0.974     1.182     1.689
1996     0.749     0.812     0.919     0.912     0.996     0.963     0.921     1.009     0.909     0.980     1.174     1.632
1997     0.776     0.791     0.937     0.900     1.003     0.960     0.930     1.003     0.899     0.991     1.159     1.612
1998     0.788     0.800     0.910     0.940     1.002     0.953     0.942     0.993     0.903     0.989     1.146     1.604
1999     0.795     0.807     0.934     0.930     0.997     0.958     0.946     0.977     0.914     0.980     1.131     1.610
2000     0.799     0.834     0.943     0.945     0.985     0.972     0.939     0.986     0.912     0.957     1.148     1.592
2001     0.799     0.821     0.948     0.943     0.989     0.969     0.933     1.003     0.903     0.958     1.144     1.563
2002     0.814     0.832     0.971     0.913     1.001     0.963     0.939     1.006     0.894     0.966     1.135     1.523
2003     0.835     0.844     0.942     0.940     1.003     0.958     0.948     1.000     0.886     0.983     1.123     1.504
2004     0.848     0.884     0.932     0.958     0.994     0.955     0.965     0.975     0.904     0.983     1.099     1.517
2005     0.850     0.860     0.960     0.937     0.984     0.972     0.961     0.974     0.908     0.976     1.100     1.501
2006     0.848     0.863     0.953     0.954     0.990     0.978     0.957     0.980     0.911     0.958     1.112     1.480
2007     0.856     0.865     0.962     0.943     1.000     0.981     0.945     0.997     0.909     0.956     1.113     1.452
2008     0.865     0.906     0.976     0.917     1.021     0.972     0.954     0.997     0.895     0.973     1.106     1.416
2009     0.881     0.879     0.944     0.955     1.017     0.962     0.968     0.993     0.899     0.977     1.097     1.407
2010     0.877     0.888     0.967     0.946     1.008     0.965     0.971     0.980     0.913     0.974     1.083     1.412
2011     0.872     0.894     0.964     0.964     0.991     0.978     0.969     0.983     0.919     0.968     1.085     1.404
2012     0.859     0.931     0.986     0.951     0.996     0.981     0.950     1.004     0.919     0.958     1.102     1.381
2013     0.865     0.897     1.007     0.922     1.009     0.976     0.953     1.007     0.915     0.966     1.102     1.358
2014     0.878     0.899     0.976     0.950     1.011     0.970     0.959     1.003     0.907     0.980     1.097     1.361
2015     0.880     0.898     0.974     0.952     1.006                                                                      
