MISCELLANEOUS STORES RETAILERS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     4318      4308      4292      4391      4356      4357      4468      4494      4549      4809      5059      5059
1993     5352      4896      4811      5033      4967      5153      5064      5115      5222      5432      5159      5377
1994     5288      5282      5593      5464      5756      5739      5933      6012      6092      6048      6074      6021
1995     5955      6097      6134      6265      6372      6288      6398      6502      6413      6419      6520      6566
1996     6202      6339      6473      6772      7128      7050      7018      6918      7011      7110      7154      7144
1997     7295      7539      7459      7417      7181      7474      7464      7562      7664      7704      7707      7845
1998     8070      7948      7957      7916      8037      8064      8240      8334      8378      8444      8448      8622
1999     8454      8615      8503      8590      8585      8481      8350      8519      8597      8661      9058      9489
2000     9136      9163      9189      9056      8760      8785      8789      8666      8925      8870      8829      8631
2001     8466      8665      8897      8527      8752      8693      8671      8691      8377      8456      8548      8432
2002     8447      8616      8380      8579      8539      8639      8575      8740      8724      8579      8362      8569
2003     8565      8372      8405      8359      8525      8537      8497      8618      8442      8591      8530      8576
2004     8665      8481      8552      8685      8869      8446      8554      8567      8596      8677      8877      8914
2005     8839      8952      8787      8899      8925      8897      8941      8850      9006      9114      9119      9053
2006     9616      9521      9455      9490      9461      9312      9309      9271      9370      9460      9623      9890
2007     9634      9487      9805      9571      9840      9973      9718      9734      9816      9575      9668      9710
2008    10123      9388      9369      9364      9398      9412      9640      9246      9138      9030      8763      8633
2009     8646      8822      8761      8787      8585      8555      8508      8501      8489      8524      8605      8726
2010     8542      8362      8841      8767      8899      8966      8804      8817      9023      9168      9095      9066
2011     9002      9222      9037      9200      9279      9332      9467      9552      9554      9520      9513      9260
2012     9786      9924      9851      9871      9718      9834     10010     10103     10095     10152     10266     10328
2013    10259     10250     10446     10497     10668     10402                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.850     0.897     0.896     0.951     1.053     1.034     1.013     1.012     0.986     0.986     0.958     1.398
1993     0.825     0.873     0.912     0.959     1.043     1.037     1.007     1.030     0.981     0.961     0.983     1.386
1994     0.819     0.878     0.926     0.946     1.060     1.034     0.984     1.047     0.990     0.948     0.981     1.361
1995     0.839     0.887     0.936     0.923     1.074     1.041     0.973     1.054     0.977     0.962     0.977     1.312
1996     0.861     0.937     0.922     0.953     1.073     0.997     1.002     1.041     0.957     0.986     0.976     1.306
1997     0.879     0.912     0.925     0.955     1.056     0.995     1.004     1.009     0.981     0.987     0.961     1.318
1998     0.883     0.922     0.953     0.951     1.020     1.015     0.993     0.993     0.981     0.986     0.975     1.324
1999     0.872     0.927     0.976     0.958     1.001     1.008     0.980     1.009     0.976     0.971     1.009     1.317
2000     0.868     0.971     0.983     0.920     1.033     1.007     0.944     1.039     0.969     0.984     1.011     1.273
2001     0.905     0.923     0.971     0.924     1.046     0.991     0.960     1.041     0.944     1.006     1.020     1.253
2002     0.918     0.917     0.943     0.948     1.053     0.967     0.977     1.038     0.948     1.019     1.006     1.264
2003     0.921     0.912     0.927     0.948     1.055     0.974     0.989     1.015     0.976     1.020     0.980     1.272
2004     0.917     0.924     0.957     0.952     1.028     1.009     0.983     1.021     0.977     0.992     1.011     1.264
2005     0.887     0.902     0.966     0.939     1.052     1.013     0.965     1.035     0.991     0.984     1.011     1.238
2006     0.903     0.897     0.967     0.917     1.072     1.032     0.960     1.041     0.984     1.005     1.002     1.191
2007     0.909     0.896     0.965     0.924     1.082     1.029     0.981     1.039     0.966     1.027     1.004     1.163
2008     0.905     0.935     0.939     0.952     1.074     1.019     1.009     1.011     1.001     1.039     0.959     1.189
2009     0.889     0.895     0.958     0.950     1.050     1.051     1.013     1.003     1.004     1.038     0.960     1.188
2010     0.862     0.897     0.977     0.959     1.036     1.054     1.011     1.022     1.001     1.021     0.981     1.181
2011     0.849     0.898     0.987     0.949     1.051     1.048     0.992     1.039     1.010     1.015     0.982     1.168
2012     0.862     0.929     0.982     0.933     1.085     1.039     1.001     1.046     0.972     1.050     0.987     1.131
2013     0.882     0.895     0.954     0.960     1.087     1.009     1.019     1.039     0.978     1.056     0.973     1.147
2014     0.881     0.892     0.948     0.962     1.081     1.014     1.026     1.017     1.003     1.056     0.948     1.167
2015     0.873     0.890     0.966     0.958     1.060     1.039                                                            
