NONSTORE RETAILERS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     6515      6110      6018      6327      6550      6653      6891      6766      6714      6665      6610      6597
1993     6644      6780      7009      6868      7309      6858      7046      6999      7486      7343      7561      7438
1994     7720      7681      7853      7941      7859      8074      8077      8241      8106      8306      8092      8237
1995     8182      8307      8216      8365      8518      8429      8499      8699      8842      8702      9170      9543
1996     9038      9400      9606      9632      9519      9610      9550      9468      9889     10025     10390     10765
1997    10006     10350     10488     10642     10547     10643     10836     10432     10669     10529     10675     10490
1998    10390     10626     10844     10992     11189     11103     11580     11375     11302     11577     11553     11459
1999    11720     11821     12052     12345     12558     12558     12742     12965     13196     13127     13110     13528
2000    13855     14241     14261     14458     14539     14949     15037     15280     15775     15698     15883     16538
2001    15505     15223     15354     15289     14876     14981     14964     15214     14473     14979     14837     14810
2002    15091     15054     15345     15675     15850     15725     16018     15881     15725     15977     16416     16497
2003    16434     16933     16764     16593     16722     16938     17049     17312     17595     17778     17881     17742
2004    18275     18566     18072     18442     18351     18649     18927     19178     19472     19675     19789     19942
2005    20409     20131     20395     20905     20524     21110     21048     21718     21833     22275     22439     22770
2006    22640     23061     23792     23398     23785     23689     23780     24120     24054     24172     24367     24258
2007    24378     25544     25119     25417     25287     25425     25849     25705     26003     26205     27056     26457
2008    26213     26151     26439     27514     27458     27388     27681     27196     26950     26267     25192     25080
2009    25300     25467     24979     25131     25187     25665     26087     26157     26139     26560     26831     27194
2010    27468     27424     27815     27741     27906     28419     28140     28699     28898     29002     29106     29887
2011    30905     30425     30729     30961     31090     31361     31409     31778     31328     32717     33178     32559
2012    31987     32773     32816     33075     33638     33339     34140     34312     34749     34659     35805     35667
2013    36102     36515     36825     36997     37154     37936                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     1.058     0.985     1.053     0.951     0.888     0.867     0.850     0.862     0.956     1.087     1.169     1.317
1993     1.005     0.969     1.073     0.960     0.885     0.865     0.833     0.888     0.956     1.056     1.206     1.317
1994     0.996     0.966     1.077     0.934     0.913     0.869     0.812     0.904     0.966     1.048     1.203     1.292
1995     1.019     0.961     1.074     0.910     0.932     0.886     0.813     0.909     0.939     1.078     1.198     1.257
1996     1.030     0.998     1.022     0.961     0.939     0.847     0.862     0.893     0.938     1.098     1.167     1.287
1997     1.028     0.947     1.017     0.956     0.925     0.879     0.875     0.874     0.966     1.091     1.122     1.306
1998     1.007     0.942     1.048     0.955     0.904     0.913     0.883     0.878     0.966     1.061     1.133     1.306
1999     0.985     0.940     1.069     0.963     0.903     0.914     0.871     0.915     0.964     1.025     1.147     1.301
2000     0.989     0.985     1.073     0.911     0.950     0.921     0.846     0.947     0.945     1.044     1.125     1.241
2001     1.048     0.943     1.051     0.934     0.953     0.893     0.873     0.952     0.918     1.059     1.122     1.240
2002     1.060     0.947     1.022     0.962     0.949     0.868     0.891     0.938     0.939     1.060     1.081     1.286
2003     1.060     0.949     1.016     0.959     0.930     0.888     0.897     0.916     0.962     1.056     1.045     1.319
2004     1.036     0.967     1.064     0.965     0.902     0.912     0.881     0.944     0.954     1.003     1.099     1.330
2005     0.998     0.951     1.063     0.937     0.932     0.915     0.863     0.964     0.960     0.994     1.092     1.309
2006     1.024     0.950     1.054     0.912     0.951     0.928     0.866     0.971     0.931     1.017     1.092     1.280
2007     1.041     0.947     1.026     0.932     0.960     0.908     0.899     0.969     0.905     1.026     1.099     1.281
2008     1.046     0.989     0.990     0.953     0.941     0.912     0.924     0.923     0.952     1.020     1.040     1.355
2009     1.024     0.944     1.017     0.950     0.917     0.941     0.921     0.918     0.948     0.990     1.068     1.373
2010     0.997     0.944     1.034     0.956     0.914     0.939     0.899     0.945     0.944     0.957     1.102     1.382
2011     0.993     0.944     1.040     0.927     0.943     0.936     0.870     0.962     0.949     0.948     1.104     1.363
2012     1.022     0.979     1.016     0.926     0.962     0.916     0.890     0.964     0.896     0.993     1.118     1.326
2013     1.045     0.943     0.988     0.948     0.959     0.892     0.909     0.946     0.918     0.998     1.093     1.370
2014     1.041     0.942     0.981     0.944     0.939     0.913     0.915     0.920     0.943     0.995     1.068     1.395
2015     1.019     0.942     1.011     0.943     0.913     0.940                                                            
