FOOD SERVICES & DRINKING PLACES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    17170     16990     16916     16677     16602     16277     16496     16733     16812     17104     17420     17491
1993    17553     17478     17554     17770     17821     18030     17927     18201     18515     18199     18153     18238
1994    17624     18425     18813     18533     18600     18889     18962     18868     18978     19010     19028     19178
1995    19160     18911     19234     19346     19450     19419     19489     19715     19640     19611     19609     19625
1996    19564     19742     19862     19932     20094     19932     20145     20140     20397     20551     20789     20707
1997    21110     21136     21171     21216     21230     21382     21689     21674     21986     21758     21504     21818
1998    21921     22132     22251     22353     22436     22634     22570     22743     22830     23066     23157     23351
1999    22871     23270     23250     23440     23500     23546     23508     23664     23836     24265     24421     24378
2000    24608     24887     25367     25215     25193     25262     25454     25342     25711     25706     25698     25133
2001    26180     26069     26122     26045     26278     26379     26507     26853     26239     26541     26597     27156
2002    27201     27384     27203     27500     27378     27586     27616     27607     27784     27623     27916     28017
2003    28018     27979     28505     28403     29048     29230     29395     29844     29503     30045     30229     29795
2004    30341     30461     30703     30560     30712     30825     31191     31036     31430     31625     31659     32111
2005    32000     32469     32115     32952     32746     33041     33056     33229     33316     33618     33986     33998
2006    34983     34535     34830     34793     34877     34729     34802     35367     35689     35784     35884     37062
2007    36356     36053     36614     36591     36732     37042     37272     37189     37427     37759     37609     38412
2008    37742     37252     37374     37883     38087     38135     38259     38225     38326     38091     38063     38046
2009    38056     37910     37528     37710     37682     37636     37690     37585     37420     37442     37731     37794
2010    37465     38311     38495     38695     38649     38776     38929     39283     39295     39445     39631     39654
2011    39356     40278     40618     40516     40934     41260     41216     41508     41937     42357     42330     42449
2012    43043     43460     43752     43934     43879     43886     44051     44107     44543     44607     45056     45717
2013    45441     45244     45635     46099     45821     45251                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.914     0.932     0.996     0.989     1.063     1.033     1.049     1.069     0.979     1.033     0.960     1.000
1993     0.923     0.894     0.992     1.004     1.050     1.030     1.065     1.062     0.978     1.030     0.962     1.007
1994     0.912     0.896     0.997     1.013     1.043     1.029     1.063     1.057     0.992     1.016     0.959     1.020
1995     0.905     0.898     1.007     1.003     1.039     1.042     1.052     1.059     0.998     1.008     0.958     1.016
1996     0.902     0.934     1.020     0.995     1.052     1.037     1.041     1.082     0.972     1.009     0.978     0.995
1997     0.915     0.905     1.010     0.995     1.068     1.023     1.045     1.075     0.973     1.016     0.965     0.993
1998     0.931     0.908     1.004     0.995     1.064     1.025     1.052     1.049     0.978     1.029     0.951     1.000
1999     0.932     0.911     1.003     1.010     1.049     1.023     1.066     1.040     0.975     1.024     0.952     1.011
2000     0.923     0.944     1.017     1.006     1.037     1.038     1.049     1.044     0.993     1.001     0.948     1.025
2001     0.915     0.913     1.034     0.993     1.041     1.045     1.041     1.054     0.980     0.995     0.960     1.014
2002     0.921     0.913     1.034     0.996     1.049     1.032     1.037     1.070     0.966     0.999     0.966     1.006
2003     0.930     0.914     1.023     0.995     1.064     1.018     1.041     1.067     0.968     1.007     0.955     1.003
2004     0.944     0.944     1.014     1.010     1.047     1.018     1.062     1.037     0.972     1.020     0.947     1.013
2005     0.931     0.916     1.020     1.019     1.040     1.016     1.057     1.032     0.986     1.009     0.944     1.026
2006     0.926     0.916     1.029     1.010     1.037     1.030     1.043     1.036     0.993     1.001     0.943     1.020
2007     0.924     0.918     1.044     0.999     1.043     1.038     1.034     1.044     0.983     0.996     0.956     1.005
2008     0.929     0.959     1.030     1.001     1.068     1.015     1.034     1.057     0.971     1.008     0.953     0.990
2009     0.950     0.921     1.024     1.002     1.067     1.018     1.040     1.034     0.977     1.021     0.941     0.993
2010     0.948     0.923     1.023     1.018     1.055     1.016     1.053     1.025     0.975     1.016     0.943     1.000
2011     0.936     0.925     1.031     1.027     1.047     1.016     1.048     1.020     0.987     1.003     0.942     1.016
2012     0.929     0.952     1.056     1.010     1.051     1.037     1.025     1.034     0.981     0.991     0.956     1.002
2013     0.930     0.926     1.053     1.014     1.059     1.023     1.019     1.047     0.967     0.995     0.962     0.996
2014     0.937     0.926     1.043     1.013     1.075     1.010     1.023     1.045     0.968     1.002     0.952     0.993
2015     0.951     0.925     1.035     1.013     1.071     1.013                                                            
